Time,Amplitude
0.0,0.0
0.002,0.5985332092021768
0.004,1.169502111295135
0.006,1.6870714561879723
0.008,2.1287410372559914
0.01,2.4767146961503705
0.012,2.7189360625371677
0.014,2.8497195107709397
0.016,2.869934850298508
0.018000000000000002,2.786737305780373
0.02,2.612867896706076
0.022,2.365580868654886
0.024,2.0652819884311073
0.026000000000000002,1.733982256825193
0.028,1.3936843681275701
0.03,1.0648231127342416
0.032,0.7648756126883303
0.034,0.5072432302580064
0.036000000000000004,0.30048528980422684
0.038,0.14795707546248593
0.04,0.04787303530163456
0.042,-0.006216849872402841
0.044,-0.024581468503663745
0.046,-0.0201660673522185
0.048,-0.007247848941702717
0.05,0.0
0.052000000000000005,-0.011081209766474642
0.054,-0.05036540161659464
0.056,-0.12391518078045427
0.058,-0.23328326014360856
0.06,-0.3752003430626689
0.062,-0.541677594746225
0.064,-0.7205192494178394
0.066,-0.8962085787313376
0.068,-1.0511008690623935
0.07,-1.1668324953930955
0.07200000000000001,-1.2258375309713492
0.074,-1.2128539631559185
0.076,-1.1163012356403605
0.078,-0.9294195580467856
0.08,-0.6510785772559655
0.082,-0.28618730940164305
0.084,0.15433314031188028
0.08600000000000001,0.6540198261730674
0.088,1.1917536036630918
0.09,1.7430011671051435
0.092,2.2813273571308827
0.094,2.780070837603553
0.096,3.214063405460423
0.098,3.561269283391204
0.1,3.8042260651806137
0.10200000000000001,3.931183150073701
0.10400000000000001,3.9368554601555803
0.106,3.822738338977503
0.108,3.5969616714017962
0.11,3.2736950297624454
0.112,2.8721485035488765
0.114,2.415243342233232
0.116,1.9280504232942042
0.11800000000000001,1.4361110632879388
0.12,0.9637625910218397
0.122,0.5325898219184356
0.124,0.16011322956303253
0.126,-0.14119399254870157
0.128,-0.3644932218790916
0.13,-0.508735619716874
0.132,-0.5783817432551084
0.134,-0.5827150218686037
0.136,-0.5348091271994667
0.138,-0.4502350932343776
0.14,-0.34561318010163555
0.14200000000000002,-0.23712548466770988
0.14400000000000002,-0.1391073638091026
0.146,-0.0628287166596857
0.148,-0.015560626757771256
0.15,1.1102230246251565e-15
0.152,-0.014096413213849135
0.154,-0.05129359740831074
0.156,-0.10116526194806946
0.158,-0.15039383364753506
0.16,-0.18401352930171275
0.162,-0.1868180890349715
0.164,-0.1448200958845589
0.166,-0.04664413240719367
0.168,0.11525955000321908
0.17,0.3436809714034529
0.17200000000000001,0.6360751093020257
0.17400000000000002,0.9843972842048225
0.176,1.375369883121853
0.178,1.7911679919730619
0.18,2.210479206614961
0.182,2.609863821421273
0.184,2.9653179766017517
0.186,3.2539259926621886
0.188,3.4554802958161286
0.19,3.5539486598520837
0.192,3.5386788834278486
0.194,3.4052497249593605
0.196,3.155902537866912
0.198,2.799518669428924
0.2,2.3511410091698943
0.202,1.8310715935442485
0.20400000000000001,1.263608371876624
0.20600000000000002,0.6755107673974406
0.20800000000000002,0.09430353190094798
0.21,-0.453459898955575
0.212,-0.9438506666068087
0.214,-1.357017034168904
0.216,-1.6783341566790684
0.218,-1.8991718570486782
0.22,-2.017229858368914
0.222,-2.0364222566470422
0.224,-1.9663265705126443
0.226,-1.8212449432275926
0.228,-1.6189535679178086
0.23,-1.3792390170070135
0.232,-1.1223351884924062
0.234,-0.8673809195279419
0.23600000000000002,-0.6310155079071642
0.23800000000000002,-0.42621766600930544
0.24,-0.26147372756438325
0.242,-0.14033475925103478
0.244,-0.06139161041575869
0.246,-0.018664215012998753
0.248,-0.00236914728085319
0.25,3.552713678800501e-15
0.252,0.002369147280860018
0.254,0.018664215013004637
0.256,0.06139161041576291
0.258,0.140334759251037
0.26,0.26147372756438336
0.262,0.4262176660093081
0.264,0.6310155079071627
0.266,0.8673809195279392
0.268,1.1223351884923976
0.27,1.379239017007011
0.272,1.6189535679178024
0.274,1.8212449432275835
0.276,1.966326570512637
0.278,2.0364222566470365
0.28,2.017229858368914
0.28200000000000003,1.8991718570486729
0.28400000000000003,1.6783341566790644
0.28600000000000003,1.357017034168908
0.28800000000000003,0.9438506666068094
0.29,0.45345989895559535
0.292,-0.09430353190093288
0.294,-0.6755107673974315
0.296,-1.2636083718766045
0.298,-1.8310715935442397
0.3,-2.3511410091698837
0.302,-2.799518669428915
0.304,-3.1559025378669063
0.306,-3.405249724959358
0.308,-3.5386788834278478
0.31,-3.553948659852089
0.312,-3.455480295816135
0.314,-3.2539259926621997
0.316,-2.965317976601761
0.318,-2.6098638214212837
0.32,-2.2104792066149663
0.322,-1.791167991973072
0.324,-1.3753698831218593
0.326,-0.9843972842048221
0.328,-0.6360751093020274
0.33,-0.34368097140345233
0.332,-0.11525955000321164
0.334,0.046644132407198
0.336,0.14482009588456707
0.338,0.18681808903497799
0.34,0.1840135293017192
0.342,0.15039383364753828
0.34400000000000003,0.10116526194807801
0.34600000000000003,0.051293597408310965
0.34800000000000003,0.014096413213852688
0.35000000000000003,3.219646771412954e-15
0.352,0.015560626757770368
0.354,0.0628287166596817
0.356,0.1391073638090996
0.358,0.23712548466770356
0.36,0.34561318010163106
0.362,0.4502350932343677
0.364,0.5348091271994649
0.366,0.5827150218685968
0.368,0.578381743255097
0.37,0.5087356197168739
0.372,0.36449322187908906
0.374,0.1411939925486997
0.376,-0.16011322956302476
0.378,-0.5325898219184303
0.38,-0.9637625910218339
0.382,-1.436111063287931
0.384,-1.9280504232941926
0.386,-2.4152433422332207
0.388,-2.872148503548867
0.39,-3.273695029762435
0.392,-3.596961671401792
0.394,-3.8227383389774983
0.396,-3.9368554601555794
0.398,-3.931183150073701
0.4,-3.804226065180616
0.402,-3.5612692833912076
0.404,-3.214063405460424
0.406,-2.7800708376035557
0.40800000000000003,-2.2813273571308916
0.41000000000000003,-1.743001167105146
0.41200000000000003,-1.1917536036630954
0.41400000000000003,-0.6540198261730669
0.41600000000000004,-0.1543331403118795
0.418,0.2861873094016315
0.42,0.6510785772559597
0.422,0.9294195580467843
0.424,1.1163012356403588
0.426,1.2128539631559239
0.428,1.225837530971351
0.43,1.1668324953931068
0.432,1.0511008690623995
0.434,0.8962085787313465
0.436,0.7205192494178463
0.438,0.5416775947462314
0.44,0.3752003430626727
0.442,0.23328326014360978
0.444,0.12391518078045394
0.446,0.05036540161659675
0.448,0.011081209766466205
0.45,-2.886579864025407e-15
0.452,0.0072478489417000524
0.454,0.020166067352210174
0.456,0.02458146850365811
0.458,0.006216849872405172
0.46,-0.04787303530164311
0.462,-0.14795707546248582
0.464,-0.30048528980422473
0.466,-0.5072432302580095
0.468,-0.7648756126883278
0.47000000000000003,-1.0648231127342427
0.47200000000000003,-1.3936843681275637
0.47400000000000003,-1.7339822568251926
0.47600000000000003,-2.0652819884311064
0.47800000000000004,-2.36558086865488
0.48,-2.612867896706069
0.482,-2.786737305780366
0.484,-2.869934850298503
0.486,-2.849719510770933
0.488,-2.71893606253717
0.49,-2.4767146961503785
0.492,-2.1287410372559963
0.494,-1.6870714561879856
0.496,-1.1695021112951467
0.498,-0.5985332092021822
0.5,-1.2983731993508297e-14
0.502,0.5985332092021571
0.504,1.1695021112951238
0.506,1.6870714561879667
0.508,2.128741037255982
0.51,2.47671469615037
0.512,2.7189360625371677
0.514,2.8497195107709365
0.516,2.869934850298512
0.518,2.78673730578038
0.52,2.6128678967060863
0.522,2.3655808686548996
0.524,2.0652819884311095
0.526,1.7339822568252
0.528,1.3936843681275748
0.53,1.0648231127342482
0.532,0.7648756126883343
0.534,0.507243230258002
0.536,0.3004852898042254
0.538,0.14795707546248538
0.54,0.04787303530163123
0.542,-0.006216849872404395
0.544,-0.024581468503664244
0.546,-0.02016606735223017
0.548,-0.007247848941712931
0.55,3.552713678800501e-15
0.552,-0.011081209766480193
0.554,-0.05036540161659753
0.556,-0.12391518078045305
0.558,-0.23328326014361156
0.56,-0.3752003430626689
0.562,-0.5416775947462237
0.5640000000000001,-0.7205192494178345
0.5660000000000001,-0.8962085787313291
0.5680000000000001,-1.0511008690623904
