Time,Amplitude,F_Sampling
0,-3.5,500
0.001,-3.5,
0.002,-3.5,
0.003,-3.6,
0.004,-3.7,
0.005,-3.9,
0.006,-4,
0.007,-4.2,
0.008,-4.3,
0.009,-4.5,
0.01,-4.6,
0.011,-4.8,
0.012,-5,
0.013,-5.3,
0.014,-5.7,
0.015,-6.1,
0.016,-6.3,
0.017,-6.5,
0.018,-6.5,
0.019,-6.6,
0.02,-6.6,
0.021,-6.7,
0.022,-6.6,
0.023,-6.4,
0.024,-5.9,
0.025,-5.3,
0.026,-4.7,
0.027,-4.1,
0.028,-3.6,
0.029,-3.2,
0.03,-2.7,
0.031,-2.2,
0.032,-1.9,
0.033,-1.8,
0.034,-1.8,
0.035,-1.8,
0.036,-1.9,
0.037,-1.9,
0.038,-2.1,
0.039,-2.2,
0.04,-2.4,
0.041,-2.6,
0.042,-2.6,
0.043,-2.7,
0.044,-2.9,
0.045,-3,
0.046,-3.2,
0.047,-3.3,
0.048,-3.4,
0.049,-3.4,
0.05,-3.3,
0.051,-3.3,
0.052,-3.2,
0.053,-3.3,
0.054,-3.4,
0.055,-3.5,
0.056,-3.6,
0.057,-3.7,
0.058,-3.8,
0.059,-3.8,
0.06,-4,
0.061,-4.1,
0.062,-4.3,
0.063,-4.5,
0.064,-4.6,
0.065,-4.8,
0.066,-5,
0.067,-5.2,
0.068,-5.3,
0.069,-5.4,
0.07,-5.4,
0.071,-5.3,
0.072,-5.3,
0.073,-5.3,
0.074,-5.2,
0.075,-5.2,
0.076,-5.2,
0.077,-5.1,
0.078,-4.9,
0.079,-4.7,
0.08,-4.4,
0.081,-4,
0.082,-3.6,
0.083,-3.2,
0.084,-2.7,
0.085,-2.2,
0.086,-1.7,
0.087,-1.3,
0.088,-0.9,
0.089,-0.6,
0.09,-0.3,
0.091,-0.1,
0.092,0.1,
0.093,0.2,
0.094,0.2,
0.095,0.2,
0.096,0,
0.097,-0.2,
0.098,-0.4,
0.099,-0.5,
0.1,-0.7,
0.101,-0.8,
0.102,-0.9,
0.103,-1,
0.104,-1,
0.105,-1,
0.106,-1,
0.107,-1,
0.108,-0.9,
0.109,-0.9,
0.11,-0.8,
0.111,-0.7,
0.112,-0.6,
0.113,-0.5,
0.114,-0.4,
0.115,-0.4,
0.116,-0.3,
0.117,-0.3,
0.118,-0.2,
0.119,-0.2,
0.12,-0.2,
0.121,-0.2,
0.122,-0.2,
0.123,-0.2,
0.124,-0.3,
0.125,-0.3,
0.126,-0.3,
0.127,-0.3,
0.128,-0.3,
0.129,-0.3,
0.13,-0.3,
0.131,-0.3,
0.132,-0.3,
0.133,-0.3,
0.134,-0.3,
0.135,-0.3,
0.136,-0.3,
0.137,-0.3,
0.138,-0.4,
0.139,-0.4,
0.14,-0.4,
0.141,-0.2,
0.142,0,
0.143,0.2,
0.144,0.4,
0.145,0.6,
0.146,0.7,
0.147,0.9,
0.148,1,
0.149,1.1,
0.15,1.2,
0.151,1.4,
0.152,1.5,
0.153,1.5,
0.154,1.4,
0.155,1.3,
0.156,1.2,
0.157,1.3,
0.158,1.4,
0.159,1.5,
0.16,1.4,
0.161,1.1,
0.162,0.9,
0.163,0.7,
0.164,0.7,
0.165,0.8,
0.166,0.7,
0.167,0.6,
0.168,0.6,
0.169,0.7,
0.17,0.8,
0.171,1,
0.172,1.3,
0.173,1.5,
0.174,1.7,
0.175,2.1,
0.176,2.5,
0.177,2.9,
0.178,3.4,
0.179,3.9,
0.18,4.4,
0.181,4.9,
0.182,5.4,
0.183,5.9,
0.184,6.4,
0.185,6.9,
0.186,7.4,
0.187,7.8,
0.188,8.2,
0.189,8.5,
0.19,8.7,
0.191,8.9,
0.192,9,
0.193,9.2,
0.194,9.4,
0.195,9.5,
0.196,9.6,
0.197,9.7,
0.198,9.7,
0.199,9.6,
0.2,9.6,
0.201,9.6,
0.202,9.6,
0.203,9.5,
0.204,9.3,
0.205,9.1,
0.206,8.8,
0.207,8.5,
0.208,8.2,
0.209,7.9,
0.21,7.6,
0.211,7.3,
0.212,7,
0.213,6.7,
0.214,6.6,
0.215,6.4,
0.216,6.2,
0.217,6,
0.218,5.6,
0.219,5.1,
0.22,4.6,
0.221,3.9,
0.222,3.1,
0.223,2.1,
0.224,1,
0.225,-0.3,
0.226,-1.7,
0.227,-3.3,
0.228,-5,
0.229,-6.9,
0.23,-8.9,
0.231,-11,
0.232,-13.3,
0.233,-15.6,
0.234,-18.1,
0.235,-20.8,
0.236,-23.6,
0.237,-26.6,
0.238,-29.7,
0.239,-32.9,
0.24,-36.2,
0.241,-39.4,
0.242,-42.6,
0.243,-45.8,
0.244,-49,
0.245,-52.2,
0.246,-55.2,
0.247,-58.1,
0.248,-60.7,
0.249,-63,
0.25,-64.9,
0.251,-66.3,
0.252,-67.2,
0.253,-67.6,
0.254,-67.5,
0.255,-66.8,
0.256,-65.6,
0.257,-64,
0.258,-61.8,
0.259,-59.2,
0.26,-55.9,
0.261,-52.2,
0.262,-48.3,
0.263,-44.1,
0.264,-39.8,
0.265,-35.4,
0.266,-31,
0.267,-26.5,
0.268,-22.1,
0.269,-17.8,
0.27,-13.6,
0.271,-9.7,
0.272,-6,
0.273,-2.6,
0.274,0.4,
0.275,3.1,
0.276,5.5,
0.277,7.6,
0.278,9.4,
0.279,10.9,
0.28,12.1,
0.281,13,
0.282,13.6,
0.283,14,
0.284,14.2,
0.285,14.4,
0.286,14.4,
0.287,14.2,
0.288,13.9,
0.289,13.5,
0.29,13.1,
0.291,12.7,
0.292,12.1,
0.293,11.6,
0.294,11,
0.295,10.5,
0.296,10,
0.297,9.6,
0.298,9.1,
0.299,8.6,
0.3,8.1,
0.301,7.7,
0.302,7.2,
0.303,6.9,
0.304,6.5,
0.305,6.1,
0.306,5.7,
0.307,5.4,
0.308,5.2,
0.309,4.9,
0.31,4.7,
0.311,4.5,
0.312,4.3,
0.313,4.1,
0.314,4,
0.315,3.8,
0.316,3.6,
0.317,3.4,
0.318,3.2,
0.319,3,
0.32,2.8,
0.321,2.6,
0.322,2.3,
0.323,2,
0.324,1.5,
0.325,1,
0.326,0.5,
0.327,0.1,
0.328,-0.3,
0.329,-0.5,
0.33,-0.8,
0.331,-0.9,
0.332,-1,
0.333,-1,
0.334,-1,
0.335,-1,
0.336,-0.9,
0.337,-0.7,
0.338,-0.4,
0.339,-0.1,
0.34,0.2,
0.341,0.3,
0.342,0.3,
0.343,0.2,
0.344,-0.1,
0.345,-0.5,
0.346,-1.1,
0.347,-1.9,
0.348,-2.8,
0.349,-3.9,
0.35,-5,
0.351,-6,
0.352,-6.9,
0.353,-7.4,
0.354,-7.7,
0.355,-7.4,
0.356,-6.8,
0.357,-5.9,
0.358,-4.9,
0.359,-4,
0.36,-3.3,
0.361,-2.7,
0.362,-2.2,
0.363,-1.7,
0.364,-1.2,
0.365,-0.8,
0.366,-0.5,
0.367,-0.4,
0.368,-0.3,
0.369,-0.3,
0.37,-0.3,
0.371,-0.3,
0.372,-0.4,
0.373,-0.5,
0.374,-0.7,
0.375,-0.7,
0.376,-0.8,
0.377,-0.7,
0.378,-0.7,
0.379,-0.7,
0.38,-0.6,
