Time,Amplitude,F_Sampling
0,-6.7,500
0.001,-6.7,
0.002,-6.8,
0.003,-6.9,
0.004,-6.9,
0.005,-6.9,
0.006,-7,
0.007,-7.1,
0.008,-7.2,
0.009,-7.3,
0.01,-7.4,
0.011,-7.5,
0.012,-7.7,
0.013,-8,
0.014,-8.3,
0.015,-8.5,
0.016,-8.8,
0.017,-9,
0.018,-9.1,
0.019,-9.3,
0.02,-9.4,
0.021,-9.4,
0.022,-9.3,
0.023,-9.1,
0.024,-8.9,
0.025,-8.8,
0.026,-8.5,
0.027,-8.1,
0.028,-7.7,
0.029,-7.2,
0.03,-6.8,
0.031,-6.5,
0.032,-6.3,
0.033,-6.1,
0.034,-5.8,
0.035,-5.6,
0.036,-5.7,
0.037,-6.2,
0.038,-7.1,
0.039,-8,
0.04,-8.8,
0.041,-9.4,
0.042,-9.9,
0.043,-10.5,
0.044,-11.2,
0.045,-11.9,
0.046,-12.3,
0.047,-12.6,
0.048,-12.6,
0.049,-12.4,
0.05,-12.2,
0.051,-11.9,
0.052,-11.4,
0.053,-10.7,
0.054,-9.8,
0.055,-8.8,
0.056,-8,
0.057,-7.4,
0.058,-7,
0.059,-6.6,
0.06,-6.4,
0.061,-6.1,
0.062,-6,
0.063,-6.1,
0.064,-6.4,
0.065,-6.9,
0.066,-7.3,
0.067,-7.8,
0.068,-8.3,
0.069,-8.6,
0.07,-8.9,
0.071,-9.1,
0.072,-9.2,
0.073,-9.3,
0.074,-9.3,
0.075,-9.1,
0.076,-8.9,
0.077,-8.6,
0.078,-8.4,
0.079,-8.1,
0.08,-7.8,
0.081,-7.4,
0.082,-6.9,
0.083,-6.3,
0.084,-5.7,
0.085,-5.2,
0.086,-4.8,
0.087,-4.4,
0.088,-4,
0.089,-3.6,
0.09,-3.3,
0.091,-3,
0.092,-2.8,
0.093,-2.6,
0.094,-2.4,
0.095,-2.3,
0.096,-2.2,
0.097,-2,
0.098,-1.9,
0.099,-1.7,
0.1,-1.5,
0.101,-1.4,
0.102,-1.3,
0.103,-1.2,
0.104,-1.1,
0.105,-1,
0.106,-0.9,
0.107,-0.7,
0.108,-0.4,
0.109,-0.2,
0.11,0.1,
0.111,0.2,
0.112,0.2,
0.113,0.1,
0.114,0,
0.115,-0.1,
0.116,-0.3,
0.117,-0.6,
0.118,-0.9,
0.119,-1.1,
0.12,-1.3,
0.121,-1.3,
0.122,-1.3,
0.123,-1.3,
0.124,-1.1,
0.125,-0.8,
0.126,-0.3,
0.127,0.3,
0.128,0.9,
0.129,1.5,
0.13,2.1,
0.131,2.7,
0.132,3.2,
0.133,3.6,
0.134,3.7,
0.135,3.6,
0.136,3.5,
0.137,3.5,
0.138,3.7,
0.139,3.8,
0.14,3.7,
0.141,3.4,
0.142,3.1,
0.143,2.8,
0.144,2.7,
0.145,2.7,
0.146,2.7,
0.147,2.8,
0.148,2.9,
0.149,3,
0.15,3.2,
0.151,3.4,
0.152,3.6,
0.153,3.8,
0.154,4.1,
0.155,4.3,
0.156,4.5,
0.157,4.6,
0.158,4.7,
0.159,4.9,
0.16,5,
0.161,5.1,
0.162,5.1,
0.163,4.9,
0.164,4.8,
0.165,4.6,
0.166,4.4,
0.167,4.2,
0.168,4,
0.169,3.9,
0.17,3.8,
0.171,3.6,
0.172,3.6,
0.173,3.5,
0.174,3.5,
0.175,3.5,
0.176,3.5,
0.177,3.5,
0.178,3.5,
0.179,3.6,
0.18,3.7,
0.181,3.9,
0.182,4.1,
0.183,4.4,
0.184,4.7,
0.185,4.8,
0.186,5,
0.187,5.1,
0.188,5.2,
0.189,5.2,
0.19,5.1,
0.191,5,
0.192,4.9,
0.193,4.9,
0.194,4.9,
0.195,4.9,
0.196,5,
0.197,5.1,
0.198,5.3,
0.199,5.5,
0.2,5.9,
0.201,6.3,
0.202,6.5,
0.203,6.8,
0.204,7,
0.205,7.2,
0.206,7.4,
0.207,7.6,
0.208,7.8,
0.209,7.8,
0.21,7.7,
0.211,7.5,
0.212,7.3,
0.213,7.1,
0.214,6.8,
0.215,6.5,
0.216,6.1,
0.217,5.7,
0.218,5.2,
0.219,4.7,
0.22,4.1,
0.221,3.5,
0.222,2.7,
0.223,1.8,
0.224,0.7,
0.225,-0.7,
0.226,-2.5,
0.227,-4.5,
0.228,-6.8,
0.229,-9.4,
0.23,-12.3,
0.231,-15.8,
0.232,-19.6,
0.233,-23.6,
0.234,-27.7,
0.235,-32.1,
0.236,-36.9,
0.237,-42.4,
0.238,-48.3,
0.239,-54.5,
0.24,-60.5,
0.241,-66.5,
0.242,-72.4,
0.243,-78.5,
0.244,-84.6,
0.245,-90.6,
0.246,-96.3,
0.247,-101.5,
0.248,-106.3,
0.249,-110.7,
0.25,-114.4,
0.251,-117.3,
0.252,-119.2,
0.253,-119.9,
0.254,-119.6,
0.255,-118.3,
0.256,-116,
0.257,-112.8,
0.258,-108.6,
0.259,-103.5,
0.26,-97.6,
0.261,-91.1,
0.262,-84,
0.263,-76.4,
0.264,-68.3,
0.265,-59.9,
0.266,-51.4,
0.267,-43,
0.268,-34.7,
0.269,-26.6,
0.27,-18.9,
0.271,-11.6,
0.272,-4.9,
0.273,0.9,
0.274,6,
0.275,10.4,
0.276,14.2,
0.277,17.5,
0.278,20.2,
0.279,22.4,
0.28,24.1,
0.281,25.6,
0.282,26.8,
0.283,27.8,
0.284,28.7,
0.285,29.3,
0.286,29.7,
0.287,29.9,
0.288,30,
0.289,29.8,
0.29,29.6,
0.291,29,
0.292,28.2,
0.293,27.1,
0.294,25.9,
0.295,24.7,
0.296,23.4,
0.297,22.3,
0.298,21.3,
0.299,20.2,
0.3,19.3,
0.301,18.4,
0.302,17.6,
0.303,16.7,
0.304,15.9,
0.305,15,
0.306,14.2,
0.307,13.4,
0.308,12.6,
0.309,11.7,
0.31,10.7,
0.311,9.7,
0.312,8.8,
0.313,7.9,
0.314,7,
0.315,6.1,
0.316,5.3,
0.317,4.6,
0.318,4,
0.319,3.5,
0.32,2.9,
0.321,2.4,
0.322,1.9,
0.323,1.4,
0.324,0.9,
0.325,0.4,
0.326,-0.2,
0.327,-0.7,
0.328,-1.1,
0.329,-1.4,
0.33,-1.6,
0.331,-1.8,
0.332,-2.1,
0.333,-2.4,
0.334,-2.6,
0.335,-2.7,
0.336,-2.9,
0.337,-3.2,
0.338,-3.6,
0.339,-3.8,
0.34,-3.8,
0.341,-3.4,
0.342,-3,
0.343,-2.4,
0.344,-1.9,
0.345,-1.3,
0.346,-0.7,
0.347,0.1,
0.348,0.7,
0.349,1.4,
0.35,2,
0.351,2.7,
0.352,3.4,
0.353,3.9,
0.354,4.3,
0.355,4.5,
0.356,4.4,
0.357,4.1,
0.358,3.7,
0.359,3.2,
0.36,2.5,
0.361,1.7,
0.362,1,
0.363,0.3,
0.364,-0.3,
0.365,-0.8,
0.366,-1.3,
0.367,-1.6,
0.368,-1.9,
0.369,-2.1,
0.37,-2.2,
0.371,-2.3,
0.372,-2.4,
0.373,-2.6,
0.374,-2.9,
0.375,-3.2,
0.376,-3.5,
0.377,-3.6,
0.378,-3.8,
0.379,-3.8,
0.38,-3.9,
0.381,-4,
0.382,-4,
0.383,-3.9,
0.384,-3.8,
0.385,-3.7,
0.386,-3.6,
0.387,-3.5,
0.388,-3.3,
0.389,-3.2,
0.39,-3.1,
0.391,-3,
0.392,-3,
0.393,-3,
0.394,-3.1,
0.395,-3.3,
0.396,-3.5,
0.397,-3.6,
0.398,-3.7,
0.399,-3.8,
0.4,-3.9,
0.401,-4,
0.402,-4.2,
0.403,-4.5,
0.404,-4.7,
0.405,-4.8,
0.406,-4.8,
0.407,-4.8,
0.408,-4.8,
0.409,-4.8,
0.41,-4.7,
0.411,-4.7,
0.412,-4.7,
0.413,-4.7,
0.414,-4.7,
0.415,-4.8,
0.416,-4.9,
0.417,-5,
0.418,-5.1,
0.419,-5.2,
0.42,-5.2,
0.421,-5.2,
0.422,-5.2,
0.423,-5.1,
0.424,-5.1,
0.425,-5.1,
0.426,-5.2,
0.427,-5.4,
0.428,-5.7,
0.429,-6.1,
0.43,-6.4,
0.431,-6.8,
0.432,-7.1,
0.433,-7.4,
0.434,-7.6,
0.435,-7.7,
0.436,-7.8,
0.437,-7.9,
0.438,-8,
0.439,-8.1,
0.44,-8.2,
0.441,-8.3,
0.442,-8.4,
0.443,-8.5,
0.444,-8.7,
0.445,-9,
0.446,-9.2,
0.447,-9.6,
0.448,-9.8,
0.449,-10.2,
0.45,-10.5,
0.451,-10.9,
0.452,-11.3,
0.453,-11.6,
0.454,-11.9,
0.455,-12,
0.456,-12.2,
0.457,-12.3,
0.458,-12.3,
0.459,-12.2,
0.46,-12.1,
0.461,-11.8,
0.462,-11.6,
0.463,-11.3,
0.464,-10.9,
0.465,-10.5,
0.466,-10,
0.467,-9.7,
0.468,-9.5,
0.469,-9.3,
0.47,-9.1,
0.471,-9.1,
0.472,-9.2,
0.473,-9.7,
0.474,-10.3,
0.475,-10.9,
0.476,-11.3,
0.477,-11.6,
0.478,-11.7,
0.479,-11.9,
0.48,-11.9,
0.481,-11.8,
0.482,-11.4,
0.483,-11,
0.484,-10.5,
0.485,-10.2,
0.486,-10,
0.487,-9.7,
0.488,-9.5,
0.489,-9.3,
0.49,-9.2,
0.491,-9.2,
0.492,-9.3,
0.493,-9.4,
0.494,-9.6,
0.495,-9.8,
0.496,-9.9,
0.497,-10.1,
0.498,-10.2,
0.499,-10.2,
0.5,-10.3,
0.501,-10.4,
0.502,-10.7,
0.503,-10.9,
0.504,-11,
0.505,-11.2,
0.506,-11.3,
0.507,-11.5,
0.508,-11.7,
0.509,-11.9,
0.51,-12.1,
0.511,-12.3,
0.512,-12.4,
0.513,-12.6,
0.514,-12.8,
0.515,-12.9,
0.516,-13,
0.517,-13.1,
0.518,-13.2,
0.519,-13.2,
0.52,-13.1,
0.521,-12.9,
0.522,-12.6,
0.523,-12.2,
0.524,-12,
0.525,-11.9,
0.526,-11.9,
0.527,-11.8,
0.528,-11.6,
0.529,-11.6,
0.53,-11.9,
0.531,-12.7,
0.532,-13.5,
0.533,-13.9,
0.534,-13.6,
0.535,-13.2,
0.536,-13.2,
0.537,-14,
0.538,-15.5,
0.539,-16.9,
0.54,-17.5,
0.541,-17.5,
0.542,-17.2,
0.543,-17,
0.544,-16.7,
0.545,-16.3,
0.546,-15.4,
0.547,-14.2,
0.548,-13,
0.549,-12,
0.55,-11.1,
0.551,-10.2,
0.552,-9.2,
0.553,-8.3,
0.554,-7.6,
0.555,-7.2,
0.556,-7.2,
0.557,-7.4,
0.558,-7.9,
0.559,-8.5,
0.56,-9.3,
0.561,-10.2,
0.562,-11.3,
0.563,-12.4,
0.564,-13.7,
0.565,-14.9,
0.566,-16,
0.567,-17,
0.568,-17.7,
0.569,-18.3,
0.57,-18.7,
0.571,-19,
0.572,-18.8,
0.573,-18.1,
0.574,-17.1,
0.575,-16,
0.576,-15.1,
0.577,-14.4,
0.578,-13.7,
0.579,-13.1,
0.58,-12.5,
0.581,-12,
0.582,-11.9,
0.583,-11.9,
0.584,-12,
0.585,-12,
0.586,-12.1,
0.587,-12.2,
0.588,-12.5,
0.589,-12.9,
0.59,-13.3,
0.591,-13.8,
0.592,-14.2,
0.593,-14.7,
0.594,-15.1,
0.595,-15.5,
0.596,-15.8,
0.597,-16,
0.598,-16.2,
0.599,-16.3,
0.6,-16.4,
0.601,-16.5,
0.602,-16.5,
0.603,-16.5,
0.604,-16.4,
0.605,-16.3,
0.606,-16.1,
0.607,-15.8,
0.608,-15.4,
0.609,-14.8,
0.61,-13.8,
0.611,-12.7,
0.612,-11.6,
0.613,-10.5,
0.614,-9.5,
0.615,-8.4,
0.616,-7.3,
0.617,-6.3,
0.618,-5.3,
0.619,-4.7,
0.62,-4.3,
0.621,-4.4,
0.622,-4.8,
0.623,-5.5,
0.624,-6.5,
0.625,-7.6,
0.626,-9.2,
0.627,-11.3,
0.628,-13.7,
0.629,-15.7,
0.63,-16.7,
0.631,-16.6,
0.632,-16.3,
0.633,-16.7,
0.634,-17.8,
0.635,-18.8,
0.636,-18.2,
0.637,-15.4,
0.638,-11,
0.639,-6.6,
0.64,-3.6,
0.641,-2,
0.642,-1,
0.643,0.1,
0.644,1.5,
0.645,2.4,
0.646,2.4,
0.647,1.7,
0.648,0.7,
0.649,-0.2,
0.65,-0.8,
0.651,-1.4,
0.652,-2.2,
0.653,-3.1,
0.654,-3.6,
0.655,-3.8,
0.656,-3.5,
0.657,-2.9,
0.658,-2.3,
0.659,-1.6,
0.66,-0.8,
0.661,0.2,
0.662,1.4,
0.663,2.6,
0.664,3.4,
0.665,4,
0.666,4.1,
0.667,4,
0.668,3.8,
0.669,3.5,
0.67,3,
0.671,2.4,
0.672,1.5,
0.673,0.4,
0.674,-0.6,
0.675,-1.6,
0.676,-2.4,
0.677,-3.3,
0.678,-4,
0.679,-4.7,
0.68,-5.2,
0.681,-5.6,
0.682,-5.7,
0.683,-5.7,
0.684,-5.4,
0.685,-5.1,
0.686,-4.8,
0.687,-4.4,
0.688,-3.9,
0.689,-3.4,
0.69,-2.7,
0.691,-2.1,
0.692,-1.5,
0.693,-1,
0.694,-0.7,
0.695,-0.5,
0.696,-0.4,
0.697,-0.3,
0.698,-0.2,
0.699,-0.2,
0.7,-0.4,
0.701,-0.9,
0.702,-1.5,
0.703,-2.1,
0.704,-2.6,
0.705,-2.8,
0.706,-3,
0.707,-3.2,
0.708,-3.4,
0.709,-3.5,
0.71,-3.5,
0.711,-3.4,
0.712,-3.4,
0.713,-3.4,
0.714,-3.4,
0.715,-3.4,
0.716,-3.2,
0.717,-2.7,
0.718,-2.2,
0.719,-1.6,
0.72,-1.1,
0.721,-0.7,
0.722,-0.4,
0.723,0,
0.724,0.3,
0.725,0.5,
0.726,0.8,
0.727,1.1,
0.728,1.6,
0.729,2.3,
0.73,2.8,
0.731,3.2,
0.732,3.4,
0.733,3.6,
0.734,3.9,
0.735,4.2,
0.736,3.9,
0.737,3.1,
0.738,1.7,
0.739,0.3,
0.74,-0.8,
0.741,-1.7,
0.742,-2.4,
0.743,-3.1,
0.744,-4,
0.745,-4.7,
0.746,-5.3,
0.747,-5.5,
0.748,-5.6,
0.749,-5.7,
0.75,-5.7,
0.751,-5.6,
0.752,-5.2,
0.753,-4.7,
0.754,-3.9,
0.755,-3.1,
0.756,-2.3,
0.757,-1.5,
0.758,-0.8,
0.759,-0.2,
0.76,0.3,
0.761,0.5,
0.762,0.5,
0.763,0.1,
0.764,-0.5,
0.765,-1.3,
0.766,-2.2,
0.767,-3,
0.768,-3.7,
0.769,-4.2,
0.77,-4.5,
0.771,-4.8,
0.772,-5,
0.773,-5.3,
0.774,-5.7,
0.775,-6,
0.776,-6.3,
0.777,-6.5,
0.778,-6.5,
0.779,-6.4,
0.78,-6.2,
0.781,-6,
0.782,-5.8,
0.783,-5.7,
0.784,-5.4,
0.785,-5.2,
0.786,-5,
0.787,-4.7,
0.788,-4.4,
0.789,-4,
0.79,-3.4,
0.791,-2.7,
0.792,-2,
0.793,-1.4,
0.794,-0.9,
0.795,-0.7,
0.796,-0.4,
0.797,-0.3,
0.798,-0.2,
0.799,-0.2,
0.8,-0.5,
0.801,-0.9,
0.802,-1.5,
0.803,-2.1,
0.804,-2.8,
0.805,-3.6,
0.806,-4.5,
0.807,-5.4,
0.808,-6.3,
0.809,-7.1,
0.81,-7.7,
0.811,-8,
0.812,-8.2,
0.813,-8.3,
0.814,-8.3,
0.815,-8.2,
0.816,-7.8,
0.817,-7.1,
0.818,-6.2,
0.819,-5.3,
0.82,-4.4,
0.821,-3.7,
0.822,-3.1,
0.823,-2.5,
0.824,-2,
0.825,-1.8,
0.826,-2,
0.827,-2.4,
0.828,-3.1,
0.829,-4,
0.83,-5.1,
0.831,-6.3,
0.832,-7.4,
0.833,-8.2,
0.834,-8.4,
0.835,-8.3,
0.836,-8,
0.837,-8,
0.838,-8,
0.839,-7.9,
0.84,-7.3,
0.841,-6.2,
0.842,-4.8,
0.843,-3.5,
0.844,-2.4,
0.845,-1.8,
0.846,-1.7,
0.847,-2,
0.848,-2.6,
0.849,-3.4,
0.85,-4.4,
0.851,-5.5,
0.852,-6.8,
0.853,-8.4,
0.854,-10,
0.855,-11.3,
0.856,-12,
0.857,-12.2,
0.858,-12.1,
0.859,-11.9,
0.86,-11.6,
0.861,-11.2,
0.862,-10.6,
0.863,-9.9,
0.864,-9.6,
0.865,-9.7,
0.866,-10.2,
0.867,-10.7,
0.868,-11.3,
0.869,-12.1,
0.87,-13.1,
0.871,-14.3,
0.872,-15.1,
0.873,-15.3,
0.874,-14.7,
0.875,-13.8,
0.876,-12.7,
0.877,-11.6,
0.878,-10.4,
0.879,-9.1,
0.88,-7.7,
0.881,-6.5,
0.882,-5.9,
0.883,-5.7,
0.884,-5.7,
0.885,-5.8,
0.886,-6,
0.887,-6.3,
0.888,-6.7,
0.889,-7.1,
0.89,-7.3,
0.891,-7.6,
0.892,-8,
0.893,-8.6,
0.894,-9.2,
0.895,-9.7,
0.896,-10.2,
0.897,-10.7,
0.898,-11.4,
0.899,-11.9,
0.9,-12,
0.901,-11.5,
0.902,-10.5,
0.903,-9.3,
0.904,-8.2,
0.905,-7.1,
0.906,-5.9,
0.907,-4.6,
0.908,-3.4,
0.909,-2.4,
0.91,-1.7,
0.911,-1.5,
0.912,-1.4,
0.913,-1.5,
0.914,-1.5,
0.915,-1.7,
0.916,-2.2,
0.917,-2.9,
0.918,-3.7,
0.919,-4.4,
0.92,-4.8,
0.921,-5,
0.922,-5.1,
0.923,-5.1,
0.924,-4.9,
0.925,-4.4,
0.926,-3.6,
0.927,-2.8,
0.928,-1.8,
0.929,-0.7,
0.93,0.9,
0.931,2.9,
0.932,4.8,
0.933,5.9,
0.934,5.8,
0.935,5.2,
0.936,4.9,
0.937,5.8,
0.938,7.2,
0.939,8.4,
0.94,8.5,
0.941,7.3,
0.942,5.7,
0.943,4.1,
0.944,2.9,
0.945,1.9,
0.946,0.9,
0.947,-0.2,
0.948,-0.9,
0.949,-1.1,
0.95,-1.1,
0.951,-0.9,
0.952,-0.7,
0.953,-0.3,
0.954,0.3,
0.955,1,
0.956,1.6,
0.957,1.9,
0.958,2,
0.959,2.1,
0.96,2.1,
0.961,2.1,
0.962,1.9,
0.963,1.6,
0.964,1.2,
0.965,0.9,
0.966,0.8,
0.967,0.6,
0.968,0.4,
0.969,0,
0.97,-0.4,
0.971,-0.8,
0.972,-1.2,
0.973,-1.4,
0.974,-1.5,
0.975,-1.4,
0.976,-1.2,
0.977,-0.9,
0.978,-0.5,
0.979,0.1,
0.98,0.8,
0.981,1.7,
0.982,2.7,
0.983,3.6,
0.984,4.4,
0.985,5.2,
0.986,5.9,
0.987,6.5,
0.988,6.9,
0.989,7,
0.99,6.7,
0.991,6.1,
0.992,5.3,
0.993,4.4,
0.994,3.6,
0.995,2.9,
0.996,2.4,
0.997,2.2,
0.998,2.2,
0.999,2.6,
1,3.3,
1.001,4.2,
1.002,5.1,
1.003,5.9,
1.004,6.5,
1.005,6.9,
1.006,7.2,
1.007,7.4,
1.008,7.5,
1.009,7.5,
1.01,7.5,
1.011,7.6,
1.012,7.8,
1.013,8.1,
1.014,8.4,
1.015,8.8,
1.016,9.2,
1.017,9.6,
1.018,10.1,
1.019,10.3,
1.02,10.3,
1.021,9.9,
1.022,9.3,
1.023,8.5,
1.024,7.7,
1.025,6.7,
1.026,5.4,
1.027,3.9,
1.028,2.3,
1.029,1.1,
1.03,0.5,
1.031,0.5,
1.032,0.4,
1.033,-0.1,
1.034,-1.2,
1.035,-2.6,
1.036,-3.3,
1.037,-3.3,
1.038,-2.7,
1.039,-2.4,
1.04,-3.1,
1.041,-4.8,
1.042,-7.1,
1.043,-9.6,
1.044,-12,
1.045,-14.6,
1.046,-17.8,
1.047,-21.7,
1.048,-26.2,
1.049,-31,
1.05,-36.2,
1.051,-41.6,
1.052,-47.6,
1.053,-54,
1.054,-60.7,
1.055,-67.4,
1.056,-74,
1.057,-80.3,
1.058,-86.3,
1.059,-92.1,
1.06,-97.6,
1.061,-102.7,
1.062,-107.2,
1.063,-111,
1.064,-114.1,
1.065,-116.4,
1.066,-117.9,
1.067,-118.3,
1.068,-117.5,
1.069,-115.6,
1.07,-112.6,
1.071,-108.7,
1.072,-104.1,
1.073,-98.8,
1.074,-92.7,
1.075,-86,
1.076,-78.8,
1.077,-71.2,
1.078,-63.4,
1.079,-55.4,
1.08,-47.4,
1.081,-39.3,
1.082,-31.4,
1.083,-23.8,
1.084,-16.5,
1.085,-9.6,
1.086,-3.1,
1.087,2.7,
1.088,7.9,
1.089,12.3,
1.09,16.1,
1.091,19.4,
1.092,22.4,
1.093,25.2,
1.094,27.5,
1.095,29.4,
1.096,31,
1.097,32.4,
1.098,33.6,
1.099,34.5,
1.1,34.8,
1.101,34.4,
1.102,33.3,
1.103,31.8,
1.104,30.2,
1.105,28.5,
1.106,26.5,
1.107,24.2,
1.108,22,
1.109,20,
1.11,18.5,
1.111,17.4,
1.112,16.5,
1.113,15.7,
1.114,15,
1.115,14.4,
1.116,14,
1.117,13.6,
1.118,13.2,
1.119,12.7,
1.12,11.9,
1.121,11,
1.122,10,
1.123,8.9,
1.124,7.7,
1.125,6.4,
1.126,5.2,
1.127,3.8,
1.128,2.3,
1.129,1,
1.13,0.1,
1.131,-0.4,
1.132,-0.8,
1.133,-1.2,
1.134,-1.9,
1.135,-2.5,
1.136,-2.5,
1.137,-1.9,
1.138,-0.7,
1.139,0.3,
1.14,0.9,
1.141,0.8,
1.142,0.4,
1.143,0,
1.144,-0.3,
1.145,-0.4,
1.146,-0.5,
1.147,-0.4,
1.148,0,
1.149,0.8,
1.15,1.6,
1.151,2.4,
1.152,3.3,
1.153,4.1,
1.154,4.8,
1.155,5.3,
1.156,5.3,
1.157,4.8,
1.158,4.1,
1.159,3.2,
1.16,2.3,
1.161,1.1,
1.162,-0.2,
1.163,-1.6,
1.164,-2.6,
1.165,-2.9,
1.166,-2.8,
1.167,-2.6,
1.168,-2.3,
1.169,-2.2,
1.17,-2,
1.171,-1.7,
1.172,-1.3,
1.173,-1,
1.174,-0.9,
1.175,-1,
1.176,-1.1,
1.177,-1.2,
1.178,-1.2,
1.179,-1.4,
1.18,-1.7,
1.181,-2.1,
1.182,-2.5,
1.183,-2.7,
1.184,-2.8,
1.185,-2.7,
1.186,-2.6,
1.187,-2.4,
1.188,-2.2,
1.189,-1.8,
1.19,-1.4,
1.191,-1.1,
1.192,-0.9,
1.193,-0.9,
1.194,-1,
1.195,-1.1,
1.196,-1.1,
1.197,-1.1,
1.198,-1.1,
1.199,-0.9,
1.2,-0.4,
1.201,0.5,
